Sequence.Name	GenBank.Accn	RefSeq.Accn	Sequence.Length	Chr
scaffold65	KQ039406.1	NW_013185654.1	24051356	1
scaffold45	KQ039407.1	NW_013185655.1	23226060	2
scaffold123	KQ039408.1	NW_013185656.1	19389198	3
scaffold105	KQ039409.1	NW_013185657.1	18305354	4
scaffold98	KQ039410.1	NW_013185658.1	15909697	5
scaffold88	KQ039411.1	NW_013185659.1	15580261	6
scaffold23	KQ039412.1	NW_013185660.1	15208992	7
scaffold24	KQ039413.1	NW_013185661.1	14342753	8
scaffold70	KQ039414.1	NW_013185662.1	13494676	9
scaffold37	KQ039415.1	NW_013185663.1	12642707	10
scaffold61	KQ039416.1	NW_013185664.1	12384036	11
scaffold22	KQ039417.1	NW_013185665.1	12226284	12
scaffold252	KQ039418.1	NW_013185666.1	12215238	13
scaffold58	KQ039419.1	NW_013185667.1	10194198	14
scaffold153	KQ039420.1	NW_013185668.1	10145208	15
scaffold20	KQ039421.1	NW_013185669.1	9994694	16
scaffold74	KQ039422.1	NW_013185670.1	9743161	17
scaffold230	KQ039423.1	NW_013185671.1	9682024	18
scaffold82	KQ039424.1	NW_013185672.1	9590104	19
scaffold66	KQ039425.1	NW_013185673.1	9548989	20
scaffold96	KQ039426.1	NW_013185674.1	9154007	21
scaffold26	KQ039427.1	NW_013185675.1	8615042	22
scaffold274	KQ039428.1	NW_013185676.1	8474353	23
scaffold273	KQ039429.1	NW_013185677.1	8366031	24
scaffold86	KQ039430.1	NW_013185678.1	8201792	25
scaffold147	KQ039431.1	NW_013185679.1	8184866	26
scaffold14	KQ039432.1	NW_013185680.1	8028366	27
scaffold121	KQ039433.1	NW_013185681.1	7820256	28
scaffold44	KQ039434.1	NW_013185682.1	7681617	29
scaffold253	KQ039435.1	NW_013185683.1	7640333	30
scaffold368	KQ039436.1	NW_013185684.1	7483674	31
scaffold141	KQ039437.1	NW_013185685.1	7473482	32
scaffold2	KQ039438.1	NW_013185686.1	7308106	33
scaffold57	KQ039439.1	NW_013185687.1	7304620	34
scaffold6	KQ039440.1	NW_013185688.1	7109081	35
scaffold68	KQ039441.1	NW_013185689.1	6967883	36
scaffold12	KQ039442.1	NW_013185690.1	6782005	37
scaffold46	KQ039443.1	NW_013185691.1	6732988	38
scaffold83	KQ039444.1	NW_013185692.1	6457195	39
scaffold118	KQ039445.1	NW_013185693.1	6393211	40
scaffold7	KQ039446.1	NW_013185694.1	6170190	41
scaffold97	KQ039447.1	NW_013185695.1	5958902	42
scaffold163	KQ039448.1	NW_013185696.1	5949714	43
scaffold173	KQ039449.1	NW_013185697.1	5912878	44
scaffold138	KQ039450.1	NW_013185698.1	5850030	45
scaffold286	KQ039451.1	NW_013185699.1	5802267	46
scaffold51	KQ039452.1	NW_013185700.1	5692007	47
scaffold94	KQ039453.1	NW_013185701.1	5634313	48
scaffold53	KQ039454.1	NW_013185702.1	5632715	49
scaffold5	KQ039455.1	NW_013185703.1	5612155	50
scaffold193	KQ039456.1	NW_013185704.1	5550159	51
scaffold81	KQ039457.1	NW_013185705.1	5536237	52
